artist,song,text
Doors,American Night,"All hail the American night!  
  
What was that?  
I don't know  
Sounds like guns, thunder.  
  
Alright! Alright! Alright!  
Hey, listen! Listen! Listen, man! listen, man!  
I don't know how many you people believe in astrology  
Yeah, that's right, that's right, baby, I, I am a  
Sagittarius  
The most philosophical of all the signs  
But anyway, I don't believe in it  
I think it's a bunch of bullshit, myself  
But I tell you this, man, I tell you this  
I don't know what's gonna happen, man,  
But I want to have my kicks  
Before the whole shithouse goes up in flames  
Alright!

"
Doors,Angels And Sailors,"Angels and sailors  
Rich girls  
Backyard fences  
Tents  
Dreams watching each other narrowly  
Soft luxuriant cars  
Girls in garages, stripped  
Out to get liquor and clothes  
Half gallons of wine and six-packs of beer  
Jumped, humped, born to suffer  
Made to undress in the wilderness.  
I will never treat you mean  
Never start no kind of scene  
I'll tell you every place and person that I've been.  
Always a playground instructor, never a killer  
Always a bridesmaid on the verge of fame or over  
He maneuvered two girls into his hotel room  
One a friend, the other, the young one, a newer stranger  
Vaguely Mexican or Puerto Rican  
Poor boys thighs and buttock scarred by a father's belt  
She's trying to rise  
Story of her boyfriend, of teenage stoned death games  
Handsome lad, dead in a car  
Confusion  
No connections  
Come 'ere  
I love you  
Peace on earth  
Will you die for me?  
Eat me  
This way  
The end  
I'll always be true  
Never go out, sneaking out on you, babe  
If you'll only show me Far Arden again.  
I'm surprised you could get it up  
He whips her lightly, sardonically, with belt  
Haven't I been through enough? she asks  
Now dressed and leaving  
The Spanish girl begins to bleed  
She says her period  
It's Catholic heaven  
I have an ancient Indian crucifix around my neck  
My chest is hard and brown  
Lying on stained, wretched sheets with a bleeding virgin  
We could plan a murder  
Or start a religion.

"
Doors,Been Down So Long,"Well, I've been down so Goddamn long  
That it looks like up to me  
Well, I've been down so very damn long  
That it looks like up to me  
Yeah, why don't one you people  
C'mon and set me free  
  
I said, warden, warden, warden  
Won't you break your lock and key  
I said, warden, warden, warden  
Won't ya break your lock and key  
Yeah, come along here, mister  
C'mon and let the poor boy be  
  
Baby, baby, baby  
Won't you get down on your knees  
Baby, baby, baby  
Won't you get down on your knees  
C'mon little darlin'  
C'mon and give your love to me, oh yeah  
  
Well, I've been down so Goddamn long  
That it looks like up to me  
Well, I've been down so very damn long  
That it looks like up to me  
Yeah, why don't one you people  
C'mon, c'mon, c'mon and set me free

"
Doors,Black Train Song (live),"(Recorded live at the spectrum, Philadelphia 1-5-1970)  
  
People get ready there's a train coming  
You don't need a ticket  
Clime on board  
Woooooooooo!!!  
Train arrive  
Sixteen cortege long  
Train arrive  
Sixteen cortege long  
Will there be no train  
Took my baby, it's gone  
Train, train  
Comin' round the bend  
Train, train  
Comin' round the bend  
Yeah, there will be no evil train  
Took my one and only friend  
Train, train  
Comin' down the line  
Train, train  
Comin' down the line  
Well there will be no rock train  
Took me on and a friend of mine  
Train, train  
Comin' down the track  
Train, train  
Comin' down the track  
Yeah it took my baby  
And it never bring her back  
Alright  
Away, away, away of India  
Away of India  
Away, away, away, away of India  
Away of India  
That's right  
Away, away, away of India  
Away, away, away of India  
That's right, that's right  
Away, away, away of India  
That's right  
Well, I woke up this morning got the crossroad on my mind  
Well, I woke up this morning got the crossroad on my mind  
Take a walk with me everything will work out fine  
Well, I woke up this morning got the joit train on my mind  
Well, I woke up this morning got the joit train on my mind  
Take a walk with me everything will work out fine  
Well, I woke up this morning got the eight miles on my mind  
Well, I woke up this morning got the eight miles on my mind  
Tale a walk with me everything, everything will work out fine  
Well I woke up this morning got the crossroad on my mind  
Well I woke up this morning got the crossroad on my mind  
Take a walk with me  
Everything  
Everything  
Everything  
Everything gonna work out fine  
Wooooooooo  
Train, train  
Comin' down  
Took my baby  
Tokk my baby  
Took my love  
Away  
Well I woke up this morning got nothin' on my mind

"
Doors,Build Me A Woman,"Give me a witness, darling.  
I need a witness, babe.  
Wow, hey!  
I got the poontang blues, yeah.  
I got the poontang blues. Yeah.  
Top of my head down  
To the bottom of my cowboy shoes.  
All right!  
  
Build me a woman,  
Make her ten feet tall.  
You got to build me a woman,  
Make her ten feet tall.  
Don't make her worthless,  
Don't make her, wow, small.  
Right, oh, come on!  
  
You got!  
Build me a woman,  
Make her ten feet tall.  
Build me a woman,  
Make her ten feet tall.  
Don't make her worthless,  
Don't make her small.  
Build me someone I can ball  
All night long.

"
Doors,Easy Ride,"And I know  
It will be  
An easy ride, all right  
And I know  
It will be  
Easy ride, okay  
The mask that you wore  
My fingers would explore  
Costume of control  
Excitement soon unfolds  
And I know  
It will be  
Easy ride, yeah  
Joy, for vaguely  
Which' your pride  
Which' your pride, yeah  
Black polished stone  
Black polished stone  
I see your eyes  
Like burnin' glass  
Like burnin' glass  
Hear you smile, smile, babe  
The mask that you wore  
My fingers would explore  
Costume of control  
Excitement soon unfolds, hey  
Easy, baby  
Call the queen, now  
Be my bride  
Ragin' darkness  
By my side  
Seize the summer  
In your pride  
Take the winter  
In your stride  
Let's ride, yeah  
Easy, easy, easy  
Easy, easy, ease, easy  
Yeah, yeah, ride  
dumb, dumb, dumb, dumb  
dumb, dumb, dumb  
Ride

"
Doors,"Get Out Of My Life, Woman","Get out of my life, woman  
You don't love me no more  
Get out of my life, woman  
You don't love me no more  
Get out of my life, woman  
You don't love me no more  
  
Get out of my eyes teardrops  
I gotta see my way around  
Get out of my eyes teardrops  
I gotta see my way around  
Get out of my life heartache  
I got heartaches by the pound  
(These days)  
  
Walk on, walk on  
Walk on, walk on  
Yeah, walk on  
  
Get off my ladder, woman  
I gotta climb up to the top  
Get off my ladder, woman  
I gotta climb up to the top  
Get off my ladder, woman  
You know that I can't stop  
  
I can't stop  
I can't stop  
I can't stop  
I can't stop  
  
Get out of my life, woman  
I gotta be moving on  
Get out of my life, woman  
I gotta be moving on  
Get out of my life, woman  
It's so long  
  
Bye, bye, bye, bye  
So long  
Bye, bye, bye, bye  
So long  
Little darlin' goodbye  
So long, so long  
  
Twenty long years  
Little darlin'  
That I spent with you  
Twenty long years  
That we shared a home  
Twenty long years  
Little darlin'  
Now  
I'm black and blue  
Twenty long years  
Now  
I'm back on my own  
  
Bye, bye  
So long  
Bye, bye  
So long

"
Doors,Go Insane,"Once I had a little game  
I liked to crawl back in my brain  
I think you know the game I mean  
Well, I mean the game called 'Go insane'  
Now you should try this little game  
Just close your eyes, forget your name  
Forget the world, forget the people  
And we'll erect a different steeple  
This little game is fun to do  
Just close your eyes, no way to lose  
And I'm right here, I'm going too  
Release control, we're breaking through  

"
Doors,I Can't See Your Face,"I can't see your face in my mind  
I can't see your face in my mind  
Carnival dogs consume the lines  
Can't see your face in my mind  
  
Don't you cry  
Baby  
Please don't cry  
And don't look at me with your eyes  
  
I can't seem to find the right lie  
I can't seem to find the right lie  
  
Insanity's horse adorns the sky  
Can't seem to fing the right lie  
  
Carnival dogs consume the lines  
Can't see your face in my mind  
  
Don't you cry  
Baby  
Please don't cry  
I won't need your picture  
Until we say good-bye

"
Doors,I Looked At You,"I looked at you  
You looked me  
I smiled at you,  
You smiled at me  
And we're on our way,  
No we can't turn back, babe  
Yeah, we're on our way,  
And we can't turn back  
'Cause it's too late,  
Too late, too late  
Too late, too late  
And we're on our way  
No we can't turn back, babe  
Yeah, we're on our way  
And we can't turn back, yeah  
C'mon, yeah!  
I walked with you,  
You walked with me  
I talked to you,  
You talked to me  
And we're on our way  
No we can't turn back, yeah  
Yeah, we're on our way  
And we can't turn back, yeah  
'Cause it's too late,  
Too late, too late  
Too late, too late  
And we're on our way  
No we can't turn back  
Yeah, we're on our way  
And we can't turn back  
'Cause it's too late,  
Too late, too late  
Too late, too late

"
